JobName,ReqMem,ReqCPUs,ReqGPUs,ReqDuration,ActualDuration,Submit
job817683,10000000,1,0,36000,279,1629435772
job817684,10000000,1,0,36000,2381,1629436398
job817685,32000000,16,0,432000,13663,1629436777
job817686,10000000,4,0,36000,1809,1629436965
job817687,10000000,4,0,36000,921,1629436965
job817688,10000000,4,0,36000,798,1629436965
job817689,10000000,4,0,36000,1809,1629436965
job817690,10000000,4,0,36000,805,1629436965
job817691,10000000,4,0,36000,1809,1629436965
job817692,10000000,4,0,36000,675,1629436965
job817693,10000000,4,0,36000,670,1629436965
job817694,10000000,4,0,36000,763,1629436965
job817695,10000000,4,0,36000,816,1629436965
job817696,10000000,4,0,36000,636,1629436965
job817697,10000000,4,0,36000,795,1629436965
job817698,10000000,4,0,36000,717,1629436965
job817699,10000000,4,0,36000,782,1629436965
job817700,10000000,4,0,36000,630,1629436965
job817701,10000000,4,0,36000,764,1629436965
job817702,10000000,4,0,36000,640,1629436965
job817703,10000000,4,0,36000,717,1629436965
job817704,10000000,4,0,36000,804,1629436965
job817705,10000000,4,0,36000,849,1629436965
job817706,10000000,4,0,36000,849,1629436965
job817707,10000000,4,0,36000,188,1629436965
job817708,10000000,4,0,36000,1808,1629436965
job817709,10000000,4,0,36000,1051,1629436965
job817710,10000000,4,0,36000,739,1629436965
job817711,10000000,4,0,36000,766,1629436965
job817712,10000000,4,0,36000,971,1629436965
job817713,10000000,4,0,36000,725,1629436965
job817714,10000000,4,0,36000,794,1629436965
job817715,10000000,4,0,36000,760,1629436965
job817716,10000000,4,0,36000,765,1629436965
job817717,10000000,4,0,36000,816,1629436965
job817718,10000000,4,0,36000,774,1629436965
job817719,10000000,4,0,36000,1043,1629436965
job817720,10000000,4,0,36000,782,1629436965
job817721,10000000,4,0,36000,782,1629436965
job817722,10000000,4,0,36000,891,1629436965
job817723,10000000,4,0,36000,817,1629436965
job817724,10000000,4,0,36000,1006,1629436965
job817725,10000000,4,0,36000,1009,1629436965
job817726,10000000,4,0,36000,784,1629436965
job817727,10000000,4,0,36000,1064,1629436965
job817728,10000000,4,0,36000,970,1629436965
