JobName,ReqMem,ReqCPUs,ReqGPUs,ReqDuration,ActualDuration,Submit
job400590,100000000,16,0,27000,920,1620018007
job400591,100000000,16,0,27000,2449,1620018060
job400592,80000000,20,0,482400,56122,1620018090
job400593,100000000,16,0,27000,786,1620018105
job400594,100000000,16,0,27000,3126,1620018195
job400595,1000000,1,0,3600,3,1620018221
job400596,1000000,1,0,3600,3,1620018249
job400597,1000000,2,0,3600,2,1620018249
job400598,1000000,4,0,3600,3,1620018249
job400599,1000000,8,0,3600,2,1620018249
job400600,1000000,16,0,3600,2,1620018249
job400601,1000000,1,0,3600,2,1620018435
job400602,1000000,1,0,3600,4,1620018445
job400603,1000000,2,0,3600,3,1620018445
job400604,1000000,4,0,3600,3,1620018445
job400605,1000000,8,0,3600,3,1620018445
job400606,1000000,16,0,3600,3,1620018445
job400607,1000000,1,0,3600,2,1620018539
job400608,1000000,1,0,3600,3,1620018542
job400609,1000000,2,0,3600,2,1620018542
job400610,1000000,4,0,3600,3,1620018542
job400611,1000000,8,0,3600,2,1620018542
job400612,1000000,16,0,3600,2,1620018542
job400613,1000000,1,0,3600,3,1620018628
job400614,1000000,1,0,3600,3,1620018639
job400615,1000000,2,0,3600,3,1620018639
job400616,1000000,4,0,3600,3,1620018640
job400617,1000000,8,0,3600,3,1620018640
job400618,1000000,16,0,3600,3,1620018640
job400619,1000000,1,0,3600,2,1620018657
job400620,1000000,1,0,3600,4,1620018672
job400621,1000000,2,0,3600,3,1620018672
job400622,1000000,4,0,3600,4,1620018672
job400623,1000000,8,0,3600,3,1620018672
job400624,1000000,16,0,3600,3,1620018672
job400625,32000000,64,0,172800,132798,1620019010
job400626,100000000,16,0,27000,9,1620019418
job400627,100000000,16,0,27000,8,1620019464
job400628,100000000,16,0,27000,844,1620019672
job400629,1000000,1,0,3600,3,1620019914
job400630,1000000,1,0,3600,3,1620019943
job400631,1000000,2,0,3600,2,1620019943
job400632,1000000,4,0,3600,3,1620019943
job400633,1000000,8,0,3600,3,1620019943
job400634,1000000,16,0,3600,2,1620019944
job400635,1000000,1,0,3600,2,1620019970
job400636,1000000,1,0,3600,4,1620019976
job400637,1000000,2,0,3600,3,1620019976
job400638,1000000,4,0,3600,4,1620019976
job400639,1000000,8,0,3600,3,1620019976
job400640,1000000,16,0,3600,3,1620019976
job400641,1000000,1,0,3600,3,1620020154
job400642,1000000,1,0,3600,3,1620020172
job400643,1000000,2,0,3600,2,1620020172
job400644,1000000,4,0,3600,3,1620020172
job400645,1000000,8,0,3600,3,1620020172
job400646,1000000,16,0,3600,2,1620020173
job400647,1000000,1,0,3600,3,1620020237
job400648,1000000,1,0,3600,4,1620020269
