JobName,ReqMem,ReqCPUs,ReqGPUs,ReqDuration,ActualDuration,Submit
job427624,10000000,1,2,21600,11096,1620364750
job427625,10000000,1,2,21600,12716,1620364751
job427626,96000000,16,0,1810800,26,1620365545
job427627,96000000,16,0,1810800,34,1620365782
job427628,96000000,16,0,1810800,33,1620375840
job427629,96000000,16,0,1810800,27,1620377723
job427630,96000000,16,0,1810800,35,1620380363
job427631,96000000,16,0,1810800,36,1620385438
job427632,20000000,20,0,518400,231021,1620386714
job427633,20000000,20,0,518400,96695,1620387124
job427634,20000000,20,0,518400,13566,1620387288
job427635,96000000,16,0,1810800,33,1620388812
job427636,96000000,16,0,1810800,35,1620389624
job427637,50000000,8,0,331200,2,1620392980
job427638,16000000,1,0,345600,9,1620393002
job427639,16000000,1,0,345600,8,1620393002
job427640,16000000,1,0,345600,8,1620393002
job427641,16000000,1,0,345600,8,1620393002
job427642,50000000,8,0,331200,2,1620393037
job427643,50000000,8,0,331200,3,1620393130
job427644,10000000,10,0,7200,5,1620393412
job427645,10000000,10,0,3600,106,1620393422
job427646,80000000,10,0,57600,5506,1620393452
job427647,80000000,10,0,57600,5835,1620393456
job427648,80000000,10,0,57600,5587,1620393461
job427649,80000000,10,0,57600,5739,1620393465
job427650,80000000,10,0,57600,5645,1620393469
job427651,80000000,10,0,57600,5413,1620393473
job427652,80000000,10,0,57600,5280,1620393477
job427653,80000000,10,0,57600,5257,1620393482
job427654,80000000,10,0,57600,5450,1620393486
job427655,80000000,10,0,57600,5873,1620393490
job427656,80000000,10,0,57600,6534,1620393494
job427657,80000000,10,0,57600,7650,1620393499
job427658,80000000,10,0,57600,9024,1620393503
job427659,80000000,10,0,57600,9332,1620393507
job427660,80000000,10,0,57600,8170,1620393515
job427661,80000000,10,0,57600,8239,1620393520
job427662,80000000,10,0,57600,13549,1620393524
job427663,80000000,10,0,57600,7605,1620393532
job427664,80000000,10,0,57600,7858,1620393536
job427665,50000000,8,0,331200,2,1620393539
job427666,80000000,10,0,57600,9197,1620393541
job427667,80000000,10,0,57600,7271,1620393545
job427668,80000000,10,0,57600,7812,1620393549
job427669,80000000,10,0,57600,7538,1620393553
job427670,50000000,8,0,331200,2,1620393705
job427671,50000000,8,0,331200,1,1620393778
job427672,16000000,1,0,345600,8,1620394068
job427673,16000000,1,0,345600,8,1620394068
job427674,16000000,1,0,345600,8,1620394068
job427675,16000000,1,0,345600,8,1620394068
job427676,50000000,8,0,331200,2,1620394462
job427677,50000000,8,0,331200,2,1620394598
job427678,50000000,8,0,331200,2,1620394684
job427679,120000000,1,0,691200,13210,1620394919
job427680,96000000,16,0,1810800,33,1620395118
job427681,50000000,8,0,331200,39,1620395200
job427682,60000000,32,0,82800,97,1620395808
job427683,60000000,32,0,82800,95,1620395808
job427684,60000000,32,0,82800,94,1620395808
job427685,60000000,32,0,82800,96,1620395808
job427686,100000000,15,0,180000,5311,1620396261
job427687,120000000,32,0,172800,43,1620396417
job427688,120000000,32,0,172800,40,1620396417
job427689,120000000,32,0,172800,40,1620396417
job427690,120000000,32,0,172800,41,1620396417
job427691,8000000,24,0,86400,1040,1620396557
job427692,120000000,32,0,172800,356,1620396563
job427693,120000000,32,0,172800,297,1620396563
job427694,120000000,32,0,172800,228,1620396563
job427695,120000000,32,0,172800,247,1620396563
job427696,80000000,10,0,57600,7595,1620396566
job427697,96000000,16,0,1810800,31,1620396975
job427698,8000000,1,0,82920,16,1620397130
job427699,8000000,1,0,82920,6476,1620397130
job427700,8000000,1,0,82920,2,1620397130
job427701,8000000,1,0,82920,2,1620397130
job427702,8000000,1,0,82920,4,1620397130
job427703,8000000,1,0,82920,4,1620397130
job427704,8000000,1,0,82920,4,1620397130
job427705,8000000,1,0,82920,4,1620397130
job427706,120000000,32,0,172800,216,1620397239
job427707,120000000,32,0,172800,166,1620397239
job427708,120000000,32,0,172800,157,1620397239
job427709,120000000,32,0,172800,171,1620397239
job427710,80000000,16,0,86400,2499,1620397449
job427711,32000000,16,4,86400,8845,1620397813
job427712,48000000,16,0,259200,66632,1620397897
job427713,120000000,32,0,172800,97543,1620399028
job427714,48000000,4,0,86400,41,1620399478
job427715,48000000,4,0,86400,135,1620399575
job427716,48000000,4,0,86400,6221,1620399887
job427717,150000000,10,0,345600,8680,1620400313
job427718,50000000,10,0,864000,602,1620400918
job427719,25000000,5,0,82800,4265,1620401190
job427720,60000000,6,0,1382400,208095,1620401196
job427721,48000000,6,0,1296000,358785,1620401202
job427722,96000000,16,0,1810800,54,1620401355
job427723,20000000,4,0,432000,6295,1620401393
job427724,20000000,4,0,432000,6215,1620401393
job427725,20000000,4,0,432000,5899,1620401393
job427726,20000000,4,0,432000,6305,1620401393
job427727,20000000,4,0,432000,7202,1620401393
job427728,20000000,4,0,432000,6457,1620401393
job427729,20000000,4,0,432000,5900,1620401393
job427730,20000000,4,0,432000,6607,1620401393
job427731,20000000,4,0,432000,6468,1620401393
job427732,20000000,4,0,432000,6418,1620401393
job427733,20000000,4,0,432000,7303,1620401393
job427734,20000000,4,0,432000,6437,1620401393
job427735,20000000,4,0,432000,6438,1620401393
job427736,20000000,4,0,432000,6719,1620401393
job427737,20000000,4,0,432000,7346,1620401393
job427738,20000000,4,0,432000,6907,1620401393
job427739,20000000,4,0,432000,7243,1620401393
job427740,20000000,4,0,432000,7236,1620401393
job427741,20000000,4,0,432000,6972,1620401393
job427742,20000000,4,0,432000,6319,1620401393
job427743,20000000,4,0,432000,5877,1620401393
job427744,20000000,4,0,432000,6914,1620401393
job427745,20000000,4,0,432000,6257,1620401393
job427746,20000000,4,0,432000,6379,1620401393
job427747,20000000,4,0,432000,6634,1620401393
job427748,20000000,4,0,432000,6894,1620401393
job427749,20000000,4,0,432000,10068,1620401393
job427750,20000000,4,0,432000,6068,1620401393
job427751,20000000,4,0,432000,6794,1620401393
job427752,20000000,4,0,432000,6412,1620401393
job427753,20000000,4,0,432000,9564,1620401393
job427754,20000000,4,0,432000,7567,1620401393
job427755,20000000,4,0,432000,7872,1620401393
job427756,20000000,4,0,432000,7104,1620401393
job427757,20000000,4,0,432000,10551,1620401393
job427758,20000000,4,0,432000,8377,1620401393
job427759,20000000,4,0,432000,8145,1620401393
job427760,20000000,4,0,432000,9075,1620401393
job427761,20000000,4,0,432000,6714,1620401393
job427762,20000000,4,0,432000,6418,1620401393
job427763,20000000,4,0,432000,6585,1620401393
job427764,20000000,4,0,432000,7054,1620401393
job427765,20000000,4,0,432000,6875,1620401393
job427766,20000000,4,0,432000,5725,1620401393
job427767,20000000,4,0,432000,6029,1620401393
job427768,20000000,4,0,432000,6311,1620401393
job427769,20000000,4,0,432000,6962,1620401393
job427770,20000000,4,0,432000,6655,1620401393
job427771,20000000,4,0,432000,7077,1620401393
job427772,20000000,4,0,432000,6980,1620401393
job427773,20000000,4,0,432000,6702,1620401393
job427774,20000000,4,0,432000,6986,1620401393
job427775,20000000,4,0,432000,6955,1620401393
job427776,20000000,4,0,432000,6793,1620401393
job427777,20000000,4,0,432000,7321,1620401393
