JobName,ReqMem,ReqCPUs,ReqGPUs,ReqDuration,ActualDuration,Submit
job91545,8000000,1,0,86400,2,1611468193
job91546,8000000,1,0,86400,913,1611468298
job91547,48000000,2,0,129600,21,1611468368
job91548,48000000,2,0,129600,14,1611470499
job91549,48000000,2,0,129600,4,1611471243
job91550,48000000,2,0,129600,4285,1611472881
job91551,10000000,10,0,7200,2,1611500653
job91552,40000000,10,0,18000,563,1611500654
job91553,10000000,10,0,7200,3,1611502939
job91554,40000000,10,0,18000,1,1611502941
job91555,10000000,10,0,7200,1,1611503072
job91556,40000000,10,0,18000,341,1611503073
job91557,72000000,36,0,432000,0,1611503326
job91558,20000000,10,0,432000,1,1611503481
job91559,10000000,10,0,7200,1,1611503517
job91560,40000000,10,0,18000,2,1611503518
job91561,10000000,10,0,7200,2,1611503905
job91562,40000000,10,0,18000,3,1611503906
job91563,128000000,1,1,86400,98,1611504155
job91564,50000000,1,0,86400,182,1611504306
job91565,10000000,10,0,7200,2,1611504543
job91566,40000000,10,0,18000,4,1611504544
job91567,128000000,1,1,86400,21,1611504746
job91568,128000000,1,1,86400,20,1611504875
job91569,10000000,10,0,7200,2,1611504891
job91570,40000000,10,0,18000,49,1611504892
job91571,32000000,1,1,604800,20,1611505063
job91572,128000000,1,1,86400,17,1611505069
job91573,128000000,1,1,86400,16,1611505256
job91574,32000000,1,1,604800,3318,1611505306
job91575,10000000,10,0,7200,1,1611505463
job91576,40000000,10,0,18000,568,1611505463
job91577,48000000,4,0,216000,1649,1611505966
job91578,20000000,20,0,518400,106096,1611506109
job91579,48000000,4,0,216000,1913,1611506156
job91580,50000000,1,0,86400,202,1611506315
job91581,32000000,32,0,172800,99846,1611506329
job91582,128000000,1,1,86400,21,1611506445
job91583,30000000,2,0,295200,13067,1611506968
job91584,30000000,2,0,295200,22259,1611506968
job91585,30000000,2,0,295200,20303,1611506968
job91586,128000000,1,1,86400,20,1611506982
job91587,10000000,10,0,7200,2,1611507055
job91588,40000000,10,0,18000,570,1611507056
job91589,128000000,1,1,86400,20,1611507229
job91590,50000000,1,0,86400,130,1611507423
job91591,50000000,1,0,86400,152,1611507595
job91592,128000000,1,1,86400,21,1611507742
job91593,50000000,1,0,86400,203,1611507793
job91594,128000000,1,1,86400,21,1611507835
job91595,96000000,8,0,1296000,57,1611508467
job91596,128000000,1,1,86400,79,1611508661
job91597,10000000,10,0,7200,2,1611508673
job91598,40000000,10,0,18000,544,1611508674
job91599,32000000,1,1,604800,1835,1611508815
job91600,160000000,8,0,1382400,285373,1611508944
job91601,96000000,8,0,1296000,526925,1611509080
job91602,128000000,1,1,86400,20,1611509171
job91603,50000000,1,0,86400,1,1611509198
job91604,10000000,10,0,7200,2,1611509289
job91605,40000000,10,0,18000,652,1611509291
job91606,128000000,1,1,86400,20,1611509318
job91607,128000000,1,1,86400,21,1611509487
job91608,2000000,8,1,2419200,11,1611509900
job91609,50000000,1,0,86400,211,1611510491
job91610,48000000,4,0,129600,1,1611510546
job91611,48000000,4,0,129600,34,1611510636
job91612,2000000,8,1,2419200,2,1611510712
job91613,32000000,1,1,604800,23305,1611510749
job91614,48000000,4,0,129600,4150,1611510803
job91615,50000000,4,0,36000,916,1611511027
job91616,2000000,8,1,2419200,2,1611511092
job91617,50000000,1,0,86400,190,1611511136
job91618,2000000,8,1,2419200,2,1611511259
job91619,2000000,8,1,2419200,796,1611511368
job91620,50000000,1,0,86400,176,1611511462
job91621,50000000,4,0,36000,2126,1611511959
job91622,2000000,8,1,2419200,4,1611512075
job91623,128000000,1,1,86400,93,1611512096
job91624,50000000,1,0,86400,186,1611512155
job91625,2000000,8,1,2419200,2,1611512178
job91626,2000000,8,1,2419200,825,1611512302
job91627,48000000,4,0,129600,194,1611512489
job91628,48000000,4,0,129600,4891,1611512489
job91629,48000000,4,0,129600,6132,1611512489
job91630,48000000,4,0,129600,6931,1611512489
job91631,48000000,4,0,129600,8503,1611512490
job91632,48000000,4,0,129600,9448,1611512490
job91633,48000000,4,0,129600,38,1611512490
job91634,48000000,4,0,129600,8159,1611512580
job91635,128000000,1,1,86400,20,1611512641
job91636,2000000,8,1,2419200,345761,1611512754
