JobName,ReqMem,ReqCPUs,ReqGPUs,ReqDuration,ActualDuration,Submit
job535818,8000000,8,0,514800,127,1623992731
job535819,8000000,8,0,514800,3536,1623993172
job535820,120000000,4,0,86400,23886,1623993712
job535821,120000000,4,0,86400,16561,1623993715
job535822,20000000,20,0,518400,12592,1624022854
job535823,20000000,20,0,518400,179355,1624023205
job535824,80000000,16,0,604740,216025,1624023210
job535825,32000000,32,0,172800,48907,1624023310
job535826,32000000,1,0,86400,30875,1624023942
job535827,16000000,1,0,345600,5970,1624023993
job535828,120000000,4,0,86400,21080,1624024611
job535829,120000000,4,0,86400,18594,1624024614
job535830,8000000,8,1,2419200,380,1624025225
job535831,1000000,1,0,3600,3,1624025386
job535832,8000000,8,0,514800,201,1624025523
job535833,1000000,1,0,3600,1,1624025562
job535834,1000000,1,0,3600,214,1624025650
job535835,16000000,8,0,57600,1073,1624025742
job535836,16000000,8,0,57600,20,1624025840
job535837,16000000,8,0,57600,10141,1624025876
job535838,16000000,8,0,14400,3432,1624026247
job535839,32000000,16,0,432000,1463,1624026405
job535840,1000000,1,0,3600,53,1624026763
job535841,1000000,1,0,2419200,128,1624026778
job535842,100000000,1,0,86400,1,1624027271
job535843,32000000,16,0,432000,31002,1624027911
job535844,30000000,30,0,86400,2,1624028054
job535845,32000000,16,0,432000,37438,1624028222
job535846,90000000,6,0,1296000,502472,1624028353
job535847,2000000,16,0,172800,90842,1624028465
job535848,30000000,30,0,86400,9004,1624028738
job535849,50000000,1,0,86400,439,1624028837
job535850,4000000,4,0,216000,1885,1624028918
job535851,100000000,10,0,72000,6,1624028958
job535852,50000000,1,0,86400,348,1624030292
job535853,50000000,1,0,86400,22,1624031157
job535854,100000000,1,0,86400,2,1624031561
job535855,100000000,1,0,86400,0,1624031642
job535856,100000000,1,0,86400,1,1624031742
job535857,16000000,16,1,86400,26286,1624031952
job535858,100000000,1,0,86400,2,1624031953
job535859,16000000,16,1,86400,11433,1624031956
job535860,16000000,16,1,86400,7146,1624031960
job535861,16000000,16,1,86400,14392,1624031964
job535862,100000000,1,0,86400,1,1624032108
job535863,50000000,1,0,86400,50,1624032349
job535864,50000000,1,0,2419200,4,1624032561
job535865,50000000,1,0,86400,1049,1624032730
job535866,50000000,1,0,2419200,3,1624032771
job535867,50000000,1,0,2419200,4,1624033487
job535868,50000000,1,0,2419200,4,1624033721
job535869,50000000,1,0,2419200,5,1624033835
job535870,50000000,1,0,86400,14,1624034015
job535871,100000000,1,0,86400,1,1624034145
job535872,100000000,1,0,86400,1,1624034304
job535873,50000000,1,0,2419200,4,1624034483
job535874,25000000,1,0,14400,5,1624034517
job535875,30000000,30,0,86400,19,1624034548
job535876,30000000,30,0,86400,12,1624034555
job535877,30000000,30,0,86400,6,1624034561
job535878,30000000,30,0,86400,1,1624034567
job535879,30000000,30,0,86400,2,1624034572
job535880,30000000,30,0,86400,7033,1624034674
job535881,30000000,30,0,86400,7813,1624034681
job535882,25000000,1,0,14400,64,1624034694
job535883,30000000,30,0,86400,9961,1624034698
job535884,30000000,30,0,86400,11068,1624034710
job535885,50000000,1,0,86400,470,1624034713
job535886,30000000,30,0,86400,12390,1624034716
job535887,30000000,30,0,86400,10274,1624034721
job535888,30000000,30,0,86400,9313,1624034730
job535889,30000000,30,0,86400,11885,1624034736
job535890,30000000,30,0,86400,11890,1624034741
job535891,30000000,30,0,86400,11444,1624034746
job535892,1000000,1,0,3600,27,1624034795
job535893,25000000,1,0,14400,0,1624034828
job535894,1000000,1,0,3600,0,1624034838
job535895,1000000,1,0,82800,211,1624034899
job535896,25000000,1,0,14400,0,1624034907
job535897,100000000,1,0,86400,1,1624035010
job535898,25000000,1,0,14400,4,1624035034
job535899,50000000,1,0,86400,538,1624035188
job535900,100000000,1,0,86400,1,1624035245
job535901,100000000,1,0,86400,1,1624035515
job535902,10000000,1,0,3600,3,1624035580
job535903,50000000,1,0,2419200,5,1624035607
job535904,50000000,1,0,86400,62,1624035665
job535905,10000000,1,0,3600,1,1624035716
job535906,50000000,5,0,86400,39858,1624036102
job535907,50000000,1,0,86400,230,1624036308
job535908,100000000,1,0,86400,2,1624036536
job535909,100000000,1,0,86400,1,1624036832
job535910,120000000,15,0,342000,945,1624037039
job535911,50000000,1,0,2419200,633,1624037254
job535912,16000000,8,0,72000,3966,1624037541
job535913,16000000,8,0,72000,2492,1624037542
job535914,16000000,8,0,72000,4022,1624037542
job535915,16000000,8,0,72000,2662,1624037542
job535916,16000000,8,0,72000,1731,1624037542
job535917,16000000,8,0,72000,2553,1624037543
job535918,16000000,8,0,72000,2035,1624037543
job535919,16000000,8,0,72000,3306,1624037543
job535920,16000000,8,0,72000,4190,1624037544
job535921,100000000,1,0,86400,2,1624037615
job535922,100000000,1,0,2419200,957,1624037943
job535923,100000000,1,0,86400,20353,1624038237
job535924,50000000,1,0,86400,850,1624038900
job535925,30000000,30,0,86400,5953,1624039066
job535926,2000000,1,2,172800,162,1624039256
job535927,2000000,1,2,172800,125,1624039302
job535928,2000000,1,2,172800,140,1624039304
job535929,2000000,1,2,172800,118,1624039307
job535930,2000000,1,2,172800,252,1624039309
job535931,2000000,1,2,172800,291,1624039312
job535932,2000000,1,2,172800,95,1624039314
job535933,16000000,1,0,345600,7904,1624039396
job535934,16000000,1,0,345600,2967,1624039396
job535935,64000000,4,0,86400,913,1624039405
job535936,64000000,4,0,86400,239,1624039405
job535937,120000000,15,0,342000,7530,1624039619
job535938,32000000,16,0,432000,9,1624039790
job535939,2000000,1,0,864000,47,1624040031
job535940,8000000,4,0,82800,12,1624040080
job535941,2000000,1,0,864000,11594,1624040115
job535942,8000000,4,0,82800,2,1624040145
job535943,8000000,4,0,82800,21,1624040149
job535944,8000000,4,0,82800,67,1624040306
job535945,8000000,4,0,82800,16,1624040553
job535946,50000000,1,0,86400,308,1624040690
job535947,225000000,15,0,342000,978,1624040712
job535948,8000000,4,0,82800,17,1624040813
job535949,8000000,4,0,82800,5855,1624040905
job535950,240000000,16,0,342000,783,1624041311
job535951,50000000,1,0,86400,20,1624041408
job535952,50000000,1,0,86400,2,1624041887
job535953,50000000,1,0,86400,910,1624041947
job535954,225000000,15,0,342000,37,1624042039
job535955,50000000,4,0,36000,28334,1624042122
job535956,32000000,1,0,388800,133628,1624042124
job535957,5000000,1,0,172800,146896,1624042124
job535958,240000000,16,0,342000,154200,1624042162
job535959,16000000,8,0,57600,550,1624042249
job535960,225000000,15,0,342000,93,1624042921
job535961,10000000,1,2,172800,23061,1624043006
job535962,124000000,4,0,86400,84,1624043271
job535963,225000000,15,0,342000,44404,1624043290
job535964,50000000,1,0,86400,29,1624043316
job535965,16000000,8,0,86400,31157,1624043507
job535966,16000000,8,0,86400,10865,1624043621
job535967,100000000,1,0,2419200,3,1624044119
job535968,100000000,1,0,2419200,2,1624044555
job535969,16000000,8,0,86400,83609,1624044704
job535970,100000000,1,0,2419200,3,1624044928
job535971,100000000,1,0,2419200,3,1624045053
job535972,100000000,1,0,2419200,3,1624045140
job535973,100000000,1,0,2419200,3,1624045223
job535974,100000000,1,0,2419200,3,1624045306
job535975,100000000,1,0,2419200,3,1624045538
job535976,1000000,1,0,2419200,23,1624046815
job535977,1000000,1,0,2419200,6,1624046969
job535978,1000000,1,0,2419200,6,1624047139
job535979,160000000,16,0,604740,47639,1624047715
job535980,160000000,16,0,604740,31662,1624047718
job535981,160000000,16,0,604740,63621,1624047722
job535982,1000000,1,0,2419200,1334,1624048247
job535983,30000000,30,0,86400,2318,1624048486
job535984,48000000,6,0,864000,8145,1624048501
job535985,1000000,1,0,2419200,3,1624048850
job535986,1000000,1,0,2419200,4,1624048964
job535987,10000000,1,0,10800,457,1624049766
job535988,64000000,4,0,82800,94,1624050069
job535989,48000000,8,0,86400,2,1624050275
job535990,10000000,1,0,10800,408,1624050647
job535991,16000000,16,0,2160000,1704585,1624050728
job535992,10000000,1,0,2419200,4,1624050882
job535993,10000000,1,0,2419200,28,1624051014
job535994,32000000,16,0,432000,45869,1624051047
job535995,10000000,1,0,2419200,2,1624051218
job535996,10000000,1,2,172800,26732,1624051256
job535997,10000000,1,2,172800,22548,1624051258
job535998,10000000,1,2,172800,27022,1624051260
job535999,10000000,1,2,172800,22187,1624051263
job536000,10000000,1,2,172800,21724,1624051265
job536001,10000000,1,2,172800,22113,1624051267
job536002,10000000,1,0,2419200,53,1624051337
job536003,8000000,8,1,2419200,294816,1624051597
job536004,64000000,4,0,82800,23,1624051661
job536005,16000000,16,0,2419200,318357,1624052109
job536006,1000000,1,0,2419200,122,1624053496
job536007,80000000,20,0,482400,33902,1624053746
job536008,10000000,1,0,10800,22,1624053751
job536009,10000000,1,0,10800,24,1624053923
job536010,8000000,8,1,2419200,35,1624053930
job536011,8000000,8,1,2419200,311266,1624054009
job536012,8000000,8,1,2419200,39,1624054108
job536013,5000000,5,0,345600,95,1624054370
job536014,8000000,8,1,2419200,48,1624054420
job536015,20000000,2,0,86400,5973,1624055341
job536016,8000000,8,1,2419200,382409,1624055669
job536017,10000000,1,0,10800,34,1624055836
job536018,400000000,2,0,345600,1,1624056210
job536019,400000000,2,0,345600,1,1624056213
job536020,400000000,2,0,345600,1,1624056216
job536021,400000000,2,0,345600,1,1624056218
job536022,400000000,2,0,345600,4,1624056429
job536023,400000000,2,0,345600,5,1624056432
job536024,400000000,2,0,345600,4,1624056436
job536025,400000000,2,0,345600,4,1624056438
job536026,10000000,1,0,10800,30,1624056915
job536027,8000000,8,1,2419200,12921,1624057471
job536028,8000000,8,1,2419200,331188,1624057755
job536029,36000000,24,0,86400,12691,1624058718
job536030,36000000,24,0,86400,6019,1624059197
job536031,10000000,4,0,14400,2126,1624063157
job536032,160000000,16,0,604740,53,1624070541
job536033,160000000,16,0,604740,118589,1624070555
job536034,48000000,3,0,86400,324,1624070961
job536035,48000000,3,0,86400,119,1624070961
job536036,576000000,3,0,259200,6448,1624071223
job536037,576000000,3,0,259200,3083,1624071223
job536038,1000000,1,0,2419200,1525,1624071287
job536039,400000000,2,0,345600,99677,1624071346
job536040,400000000,2,0,345600,99631,1624071369
job536041,1000000,1,0,2419200,1385,1624071380
job536042,36000000,24,0,86400,38,1624071386
job536043,1000000,1,0,2419200,1301,1624071480
job536044,36000000,24,0,86400,42,1624071598
job536045,128000000,1,0,36000,1,1624071662
job536046,128000000,1,0,36000,0,1624072058
job536047,128000000,1,0,36000,1,1624072132
job536048,128000000,1,0,36000,1,1624072432
job536049,32000000,16,0,864000,25,1624072584
job536050,32000000,16,0,864000,56,1624072669
