JobName,ReqMem,ReqCPUs,ReqGPUs,ReqDuration,ActualDuration,Submit
job340434,20000000,1,0,345600,1537,1618203892
job340435,20000000,1,0,345600,1687,1618203925
job340436,20000000,1,0,345600,1275,1618204146
job340437,60000000,3,0,345600,8862,1618204344
job340438,20000000,1,0,345600,1562,1618204425
job340439,20000000,1,0,345600,1860,1618204459
job340440,60000000,3,0,345600,8242,1618204511
job340441,20000000,1,0,345600,1506,1618204556
job340442,188000000,48,0,36000,1,1618204842
job340443,188000000,48,0,36000,208,1618204889
job340444,20000000,1,0,345600,1687,1618205436
job340445,20000000,1,0,345600,1832,1618205447
job340446,60000000,3,0,345600,9831,1618205612
job340447,60000000,3,0,345600,6993,1618205998
job340448,20000000,1,0,345600,1869,1618206066
job340449,60000000,3,0,345600,9069,1618206328
job340450,60000000,3,0,345600,8305,1618207154
job340451,60000000,3,0,345600,7184,1618207297
job340452,60000000,3,0,345600,8219,1618207969
job340453,96000000,8,0,1206000,48,1618212053
job340454,16000000,2,0,475200,1,1618212224
job340455,60000000,3,0,345600,4365,1618212580
job340456,20000000,1,0,345600,1426,1618212769
job340457,16000000,2,0,475200,584,1618212964
job340458,16000000,2,0,475200,592,1618212964
job340459,16000000,2,0,475200,599,1618212964
job340460,16000000,2,0,475200,596,1618212964
job340461,16000000,2,0,475200,587,1618212965
job340462,16000000,2,0,475200,552,1618212965
job340463,16000000,2,0,475200,647,1618212965
job340464,16000000,2,0,475200,615,1618212965
job340465,16000000,2,0,475200,619,1618212965
job340466,16000000,2,0,475200,504,1618212965
job340467,16000000,2,0,475200,541,1618212966
job340468,16000000,2,0,475200,622,1618212966
job340469,16000000,2,0,475200,579,1618212966
job340470,16000000,2,0,475200,413,1618212966
job340471,16000000,2,0,475200,372,1618212966
job340472,16000000,2,0,475200,350,1618212966
job340473,16000000,2,0,475200,364,1618212967
job340474,16000000,2,0,475200,376,1618212967
job340475,16000000,2,0,475200,367,1618212967
job340476,16000000,2,0,475200,383,1618212967
job340477,16000000,2,0,475200,340,1618212967
job340478,16000000,2,0,475200,338,1618212967
job340479,16000000,2,0,475200,358,1618212968
job340480,16000000,2,0,475200,378,1618212968
job340481,16000000,2,0,475200,386,1618212968
job340482,16000000,2,0,475200,623,1618212968
job340483,16000000,2,0,475200,327,1618212968
job340484,16000000,2,0,475200,376,1618212968
job340485,16000000,2,0,475200,364,1618212968
job340486,16000000,2,0,475200,366,1618212969
